symbol,trade_date,value_rs_score,value_rs_rating
SSE:600200,2025-05-29,44.42,1
SSE:603398,2025-05-29,46.79,1
SZSE:300379,2025-05-29,53.67,1
SZSE:300472,2025-05-29,59.43,1
SZSE:000736,2025-05-29,67.25,1
SZSE:300044,2025-05-29,67.42,1
SSE:600190,2025-05-29,67.44,1
SZSE:300052,2025-05-29,68.85,1
SSE:603283,2025-05-29,70.03,1
SZSE:002231,2025-05-29,71.46,1
SZSE:003032,2025-05-29,71.9,1
SSE:603721,2025-05-29,71.92,1
SSE:603863,2025-05-29,71.99,1
SSE:600696,2025-05-29,72.16,1
SZSE:300751,2025-05-29,72.5,1
SSE:603261,2025-05-29,72.78,1
SSE:601865,2025-05-29,73.04,1
SZSE:300477,2025-05-29,73.06,1
SSE:688184,2025-05-29,73.07,1
SZSE:301030,2025-05-29,74.18,1
SSE:688408,2025-05-29,74.37,1
SZSE:300152,2025-05-29,74.59,1
SSE:603789,2025-05-29,74.83,1
SZSE:300151,2025-05-29,74.99,1
SZSE:002865,2025-05-29,75.03,1
SZSE:300716,2025-05-29,75.66,1
SZSE:002306,2025-05-29,76.08,1
SZSE:002459,2025-05-29,76.18,1
SSE:600525,2025-05-29,76.69,1
SZSE:300122,2025-05-29,76.71,1
SSE:605199,2025-05-29,76.85,1
SSE:600599,2025-05-29,77.23,1
SSE:688599,2025-05-29,77.49,1
SZSE:000488,2025-05-29,77.7,1
SZSE:300827,2025-05-29,77.95,1
SZSE:300343,2025-05-29,77.96,1
SZSE:002938,2025-05-29,78.02,1
SZSE:300561,2025-05-29,78.03,1
SSE:688223,2025-05-29,78.08,1
SSE:603580,2025-05-29,78.26,1
SSE:688429,2025-05-29,78.65,1
SZSE:002475,2025-05-29,79.01,1
SZSE:300563,2025-05-29,79.21,1
SZSE:300460,2025-05-29,79.3,1
SZSE:301152,2025-05-29,79.38,1
SZSE:301062,2025-05-29,79.4,1
SSE:688503,2025-05-29,79.47,1
SZSE:301015,2025-05-29,79.52,1
SZSE:300326,2025-05-29,79.67,1
SSE:600971,2025-05-29,79.68,1
SZSE:301626,2025-05-29,79.8,1
SSE:603556,2025-05-29,79.85,1
SZSE:300147,2025-05-29,79.99,2
SZSE:000004,2025-05-29,80.06,2
SSE:688516,2025-05-29,80.1,2
SSE:603198,2025-05-29,80.14,2
SSE:600246,2025-05-29,80.2,2
SZSE:301358,2025-05-29,80.36,2
SZSE:300093,2025-05-29,80.61,2
SSE:688530,2025-05-29,80.82,2
SSE:688533,2025-05-29,80.87,2
SSE:600438,2025-05-29,80.95,2
SSE:688298,2025-05-29,81.26,2
SSE:600309,2025-05-29,81.33,2
SSE:600773,2025-05-29,81.45,2
SZSE:002855,2025-05-29,81.57,2
SZSE:002253,2025-05-29,81.64,2
SSE:688348,2025-05-29,81.75,2
SSE:603806,2025-05-29,81.77,2
SZSE:300025,2025-05-29,81.84,2
SSE:688153,2025-05-29,81.93,2
SZSE:002214,2025-05-29,82.16,2
SZSE:300107,2025-05-29,82.18,2
SSE:688646,2025-05-29,82.5,2
SZSE:002984,2025-05-29,82.56,2
SSE:600845,2025-05-29,82.58,2
SSE:600355,2025-05-29,82.63,2
SSE:601699,2025-05-29,82.64,2
SZSE:301051,2025-05-29,82.71,2
SZSE:002076,2025-05-29,82.71,2
SSE:688658,2025-05-29,82.72,2
SSE:688601,2025-05-29,82.76,2
SSE:688691,2025-05-29,82.81,2
SZSE:300308,2025-05-29,82.88,2
SSE:600123,2025-05-29,82.9,2
SZSE:300390,2025-05-29,82.93,2
SZSE:002581,2025-05-29,82.94,2
SSE:600228,2025-05-29,82.95,2
SZSE:301589,2025-05-29,82.96,2
SSE:601567,2025-05-29,82.97,2
SSE:601231,2025-05-29,82.97,2
SZSE:300118,2025-05-29,83.01,2
SZSE:000983,2025-05-29,83.26,2
SZSE:301308,2025-05-29,83.27,2
SZSE:300159,2025-05-29,83.34,2
SZSE:300344,2025-05-29,83.42,2
SZSE:003004,2025-05-29,83.43,2
SZSE:300705,2025-05-29,83.54,2
SZSE:000400,2025-05-29,83.6,2
SSE:688772,2025-05-29,83.62,2
SSE:688726,2025-05-29,83.72,2
SZSE:301363,2025-05-29,83.75,2
SSE:688050,2025-05-29,83.77,2
SSE:688287,2025-05-29,83.85,2
SZSE:301633,2025-05-29,83.93,3
SZSE:000504,2025-05-29,83.95,3
SZSE:000877,2025-05-29,83.96,3
SZSE:300856,2025-05-29,83.99,3
SZSE:301266,2025-05-29,84.05,3
SZSE:300175,2025-05-29,84.09,3
SZSE:002737,2025-05-29,84.1,3
SSE:688036,2025-05-29,84.15,3
SZSE:300833,2025-05-29,84.16,3
SSE:600026,2025-05-29,84.2,3
SZSE:300205,2025-05-29,84.26,3
SSE:600481,2025-05-29,84.45,3
SSE:688007,2025-05-29,84.47,3
SSE:688276,2025-05-29,84.48,3
SZSE:002180,2025-05-29,84.48,3
SSE:603341,2025-05-29,84.49,3
SZSE:002240,2025-05-29,84.52,3
SZSE:001379,2025-05-29,84.55,3
SSE:688676,2025-05-29,84.55,3
SZSE:300769,2025-05-29,84.63,3
SZSE:301091,2025-05-29,84.67,3
SZSE:300474,2025-05-29,84.74,3
SZSE:300818,2025-05-29,84.78,3
SSE:688559,2025-05-29,84.78,3
SSE:603871,2025-05-29,84.78,3
SSE:600546,2025-05-29,84.82,3
SZSE:300394,2025-05-29,84.86,3
SSE:688389,2025-05-29,84.86,3
SZSE:002129,2025-05-29,84.9,3
SZSE:300347,2025-05-29,84.93,3
SZSE:000518,2025-05-29,84.93,3
SZSE:002221,2025-05-29,84.97,3
SZSE:002304,2025-05-29,85.09,3
SZSE:002496,2025-05-29,85.1,3
SZSE:300142,2025-05-29,85.11,3
SSE:601222,2025-05-29,85.13,3
SZSE:300814,2025-05-29,85.21,3
SSE:688449,2025-05-29,85.26,3
SSE:688472,2025-05-29,85.31,3
SZSE:300782,2025-05-29,85.35,3
SSE:601966,2025-05-29,85.35,3
SSE:600199,2025-05-29,85.37,3
SZSE:002150,2025-05-29,85.5,3
SZSE:002557,2025-05-29,85.5,3
SSE:600378,2025-05-29,85.52,3
SSE:688125,2025-05-29,85.56,3
SSE:603516,2025-05-29,85.57,3
SZSE:300529,2025-05-29,85.58,3
SSE:688390,2025-05-29,85.61,3
SZSE:300659,2025-05-29,85.65,3
SSE:688087,2025-05-29,85.68,3
SZSE:300097,2025-05-29,85.69,3
SZSE:002630,2025-05-29,85.69,4
SZSE:002429,2025-05-29,85.77,4
SSE:600892,2025-05-29,85.82,4
SSE:688556,2025-05-29,85.84,4
SZSE:002241,2025-05-29,85.87,4
SSE:600110,2025-05-29,85.98,4
SZSE:002531,2025-05-29,86.05,4
SZSE:002016,2025-05-29,86.07,4
SZSE:002273,2025-05-29,86.08,4
SSE:688032,2025-05-29,86.13,4
SZSE:300554,2025-05-29,86.14,4
SSE:688005,2025-05-29,86.15,4
SZSE:000595,2025-05-29,86.19,4
SZSE:001376,2025-05-29,86.2,4
SSE:603185,2025-05-29,86.2,4
SZSE:301567,2025-05-29,86.21,4
SZSE:002185,2025-05-29,86.23,4
SZSE:301587,2025-05-29,86.26,4
SSE:600611,2025-05-29,86.27,4
SZSE:002824,2025-05-29,86.32,4
SSE:688009,2025-05-29,86.36,4
SZSE:300393,2025-05-29,86.4,4
SZSE:300045,2025-05-29,86.45,4
SZSE:300274,2025-05-29,86.47,4
SZSE:002192,2025-05-29,86.49,4
SSE:688575,2025-05-29,86.53,4
SZSE:002463,2025-05-29,86.54,4
SSE:688710,2025-05-29,86.56,4
SSE:603348,2025-05-29,86.58,4
SSE:688210,2025-05-29,86.61,4
SZSE:000802,2025-05-29,86.62,4
SSE:603661,2025-05-29,86.66,4
SZSE:002756,2025-05-29,86.69,4
SZSE:300396,2025-05-29,86.73,4
SSE:603212,2025-05-29,86.75,4
SZSE:300843,2025-05-29,86.87,4
SZSE:300772,2025-05-29,86.91,4
SSE:603018,2025-05-29,86.91,4
SSE:600325,2025-05-29,86.96,4
SZSE:000821,2025-05-29,87.02,4
SSE:601882,2025-05-29,87.12,4
SSE:603055,2025-05-29,87.19,4
SSE:688549,2025-05-29,87.2,4
SZSE:002047,2025-05-29,87.24,4
SZSE:301117,2025-05-29,87.26,4
SSE:688281,2025-05-29,87.29,4
SSE:688721,2025-05-29,87.3,4
SSE:688378,2025-05-29,87.31,4
SSE:600584,2025-05-29,87.32,4
SSE:603255,2025-05-29,87.38,4
SSE:600816,2025-05-29,87.38,4
SZSE:300036,2025-05-29,87.39,4
SZSE:000049,2025-05-29,87.39,5
SSE:603396,2025-05-29,87.39,5
SSE:600707,2025-05-29,87.4,5
SSE:688361,2025-05-29,87.41,5
SSE:603327,2025-05-29,87.42,5
SSE:600238,2025-05-29,87.5,5
SZSE:300366,2025-05-29,87.52,5
SSE:688312,2025-05-29,87.53,5
SZSE:300590,2025-05-29,87.57,5
SZSE:002156,2025-05-29,87.59,5
SZSE:300207,2025-05-29,87.63,5
SZSE:301512,2025-05-29,87.63,5
SSE:688605,2025-05-29,87.65,5
SZSE:000819,2025-05-29,87.67,5
SZSE:002812,2025-05-29,87.68,5
SZSE:300639,2025-05-29,87.71,5
SZSE:002176,2025-05-29,87.78,5
SZSE:000517,2025-05-29,87.8,5
SZSE:002832,2025-05-29,87.8,5
SZSE:002922,2025-05-29,87.82,5
SSE:688426,2025-05-29,87.85,5
SZSE:300364,2025-05-29,87.87,5
SSE:688653,2025-05-29,87.89,5
SSE:600373,2025-05-29,87.93,5
SSE:688695,2025-05-29,87.97,5
SSE:688366,2025-05-29,87.98,5
SZSE:000567,2025-05-29,88.01,5
SSE:688766,2025-05-29,88.03,5
SZSE:300724,2025-05-29,88.06,5
SSE:603338,2025-05-29,88.06,5
SSE:688303,2025-05-29,88.07,5
SZSE:300298,2025-05-29,88.07,5
SZSE:002700,2025-05-29,88.08,5
SZSE:300811,2025-05-29,88.08,5
SSE:600217,2025-05-29,88.08,5
SZSE:300316,2025-05-29,88.09,5
SZSE:301551,2025-05-29,88.13,5
SZSE:002902,2025-05-29,88.13,5
SZSE:301516,2025-05-29,88.14,5
SSE:600586,2025-05-29,88.15,5
SZSE:000002,2025-05-29,88.18,5
SZSE:301239,2025-05-29,88.18,5
SZSE:000762,2025-05-29,88.22,5
SSE:688535,2025-05-29,88.24,5
SZSE:002635,2025-05-29,88.27,5
SZSE:300979,2025-05-29,88.3,5
SSE:603033,2025-05-29,88.33,5
SZSE:000596,2025-05-29,88.35,5
SSE:600266,2025-05-29,88.35,5
SZSE:300583,2025-05-29,88.37,5
SSE:603208,2025-05-29,88.39,5
SZSE:000628,2025-05-29,88.41,5
SZSE:002146,2025-05-29,88.41,6
SSE:600765,2025-05-29,88.44,6
SZSE:300374,2025-05-29,88.47,6
SZSE:300567,2025-05-29,88.5,6
SZSE:301588,2025-05-29,88.53,6
SSE:603375,2025-05-29,88.55,6
SSE:601136,2025-05-29,88.55,6
SZSE:002064,2025-05-29,88.56,6
SSE:601975,2025-05-29,88.58,6
SSE:601138,2025-05-29,88.58,6
SZSE:002198,2025-05-29,88.63,6
SSE:600661,2025-05-29,88.65,6
SZSE:300332,2025-05-29,88.67,6
SSE:688001,2025-05-29,88.71,6
SZSE:002409,2025-05-29,88.74,6
SZSE:300677,2025-05-29,88.76,6
SSE:603290,2025-05-29,88.78,6
SSE:603505,2025-05-29,88.79,6
SZSE:300037,2025-05-29,88.86,6
SZSE:301288,2025-05-29,88.87,6
SZSE:000707,2025-05-29,88.87,6
SSE:601179,2025-05-29,88.88,6
SZSE:300002,2025-05-29,88.89,6
SSE:688349,2025-05-29,88.92,6
SSE:600985,2025-05-29,88.95,6
SSE:603707,2025-05-29,88.97,6
SSE:600409,2025-05-29,88.98,6
SZSE:000683,2025-05-29,88.98,6
SZSE:301306,2025-05-29,89.0,6
SZSE:301136,2025-05-29,89.01,6
SZSE:301360,2025-05-29,89.01,6
SZSE:300327,2025-05-29,89.05,6
SZSE:300685,2025-05-29,89.09,6
SZSE:300763,2025-05-29,89.11,6
SSE:600720,2025-05-29,89.12,6
SSE:601669,2025-05-29,89.17,6
SZSE:002952,2025-05-29,89.21,6
SSE:603738,2025-05-29,89.24,6
SZSE:002232,2025-05-29,89.3,6
SSE:600376,2025-05-29,89.3,6
SZSE:300285,2025-05-29,89.3,6
SZSE:300012,2025-05-29,89.3,6
SZSE:301381,2025-05-29,89.31,6
SSE:688006,2025-05-29,89.31,6
SZSE:300601,2025-05-29,89.32,6
SZSE:300917,2025-05-29,89.33,6
SSE:603922,2025-05-29,89.34,6
SZSE:301218,2025-05-29,89.37,6
SZSE:002444,2025-05-29,89.37,6
SSE:603628,2025-05-29,89.38,6
SZSE:301291,2025-05-29,89.41,6
SZSE:300129,2025-05-29,89.42,6
SZSE:002937,2025-05-29,89.42,7
SSE:600733,2025-05-29,89.43,7
SZSE:001269,2025-05-29,89.43,7
SZSE:300735,2025-05-29,89.44,7
SSE:603826,2025-05-29,89.44,7
SZSE:002840,2025-05-29,89.44,7
SZSE:002432,2025-05-29,89.47,7
SZSE:300490,2025-05-29,89.47,7
SSE:603305,2025-05-29,89.49,7
SSE:603222,2025-05-29,89.49,7
SSE:601233,2025-05-29,89.5,7
SZSE:002869,2025-05-29,89.5,7
SZSE:300337,2025-05-29,89.52,7
SZSE:000860,2025-05-29,89.54,7
SZSE:000636,2025-05-29,89.54,7
SZSE:000739,2025-05-29,89.55,7
SSE:603995,2025-05-29,89.58,7
SZSE:300482,2025-05-29,89.6,7
SZSE:300406,2025-05-29,89.61,7
SZSE:000682,2025-05-29,89.61,7
